"Select your bank", "Selecteer uw bank"
"--Please Select--", "--Maak uw keuze--"
"Please fill these extra values to use the payment method", "Vul de extra velden in om deze betalingsmethode te kunnen gebruiken"
"Reference person", "Referentiepersoon"
"Initials", "Initialen"
"Lastname", "Achternaam"
"E-mail", "E-mail"
"Phone number 1", "Primaire telefoonnummer"
"Phone number 2", "Secundaire telefoonnummer"
"Gender", "Geslacht"
"Date of Birth", "Geboortedatum"
"DD", "DD"
"MM", "MM"
"YYYY", "YYYY"
"Language", "Taal"
"Billing address","Factuuradres"
"Street","Straat"
"House number","Huisnummer"
"Addition","Toevoeging"
"Shipping address","Verzendadres"
"payment fee", "servicekosten"
"payment fee (Excl.VAT)","servicekosten (Excl.BTW)"
"payment fee (Incl.VAT)","servicekosten (Incl.BTW)"
"Redirecting to payment screen...", "Doorsturen naar betalingsscherm..."
"Payment of order %s", "Betaling voor bestelling %s"
"Please enter a number of 10 digits. For example: 010-1010101 or (010) 10 10 101", "Vul een nummer van 10 getallen in. Bijvoorbeeld 010-1010101 of (010) 10 10 101"
"We're sorry but an error occurred trying to create your order. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in.","Helaas is er een fout opgetreden bij het aanmaken van uw order. We hebben uw winkelwagen hersteld, en u kunt het opnieuw proberen of later terugkomen. Uw winkelwagen blijft bewaard als u ingelogd bent."
"We're sorry but an error occurred trying to update your order.", "Helaas is er een fout opgetreden bij het aanmaken van uw order."
"Could not proceed with checkout since the order was not found.", "De bestelling kon niet verder omdat de order niet gevonden is."
"Your payment has expired. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in.", "Uw betaling is verlopen. We hebben uw winkelwagen hersteld, en u kunt het opnieuw proberen of later terugkomen. Uw winkelwagen blijft bewaard als u ingelogd bent."
"An error occurred during the payment process. We restored your shopping cart, and you may try again or come back later. We will keep your shopping cart saved if you're logged in.", "Helaas is er een fout opgetreden tijdens het order proces. We hebben uw winkelwagen hersteld, en u kunt het opnieuw proberen of later terugkomen. Uw winkelwagen blijft bewaard als u ingelogd bent."
"Your payment was cancelled upon your request. You can still place your order again later.","Uw betaling is geannuleerd op uw verzoek. U kunt uw bestelling later opnieuw plaatsen."
"International", "Internationaal"
"Europe", "Europa"
"A CM refund can only be for the full payment.", "Een CM terugbetaling kan alleen voor het hele aankoopbedrag."
"Your payment has been successfully processed, please return to the device where you have placed the order.","Je betaling is succesvol verwerkt, ga alstublieft terug naar het apparaat waar u de besteling geplaatst heeft."
"You have placed the order on another device, please return to that device to place the order again or continue shopping.","U heeft deze bestelling geplaatst op een ander apparaat, ga terug naar dat apparaat om de bestelling opnieuw te plaatsen of om verder te winkelen."
"Dutch", "Nederlands"
"German", "Duits"
"Dutch (Belgium)", "Nederlands (België)"
"French (Belgium)", "Frans (België)"